级别,序号,企业名称,官网,联系电话,总部地址,矿种/类型,备注/对接方向
AAA,1,国家能源投资集团,https://www.ceic.com/,400-010-4000(国能e购),北京市东城区安德路16号神华大厦C座,煤炭,78座煤矿;全球最大;有国能e采购平台
AAA,2,晋能控股集团,http://www.dtcoalmine.com/,0351-6****503(招聘),山西省太原市万柏林区长风西街6号,煤炭,全国第二大;1.13万亿资产
AAA,3,山东能源集团,https://www.shandong-energy.com/,0531-62355512(营销),山东省济南市历下区经十路10777号,煤炭,82处煤矿;智能开采超91%
AAA,4,中国中煤能源集团,https://www.chinacoal.com/,010-82256688,北京市朝阳区黄寺大街1号,煤炭,央企;有电子采购平台ego.chinacoal.com
AAA,5,陕西煤业化工集团,https://www.shccig.com/,029-81772602,西安市雁塔区锦业一路2号,煤炭,陕西省属特大型
AAA,6,山西焦煤集团,https://www.sxcc.com.cn/,0351-8305000/8305100,山西省太原市新晋祠路一段1号,煤炭,150座煤矿;全球最大焦煤企业
AA,7,华阳新材料科技集团(原阳煤),http://www.ymjt.com.cn/,0353-7073112/7071237,山西省阳泉市北大西街5号,煤炭,10座煤矿;2860万吨/年
AA,8,潞安化工集团,https://www.chinaluan.com/,0355-5922141,山西省长治市潞州区宝源路53号,煤炭/化工,煤化结合
AA,9,冀中能源集团,http://www.jznyjt.com/,0319-2068232,河北省邢台市中兴西大街191号,煤炭,控股冀中能源/华北制药/金牛化工
AA,10,河南能源集团,,0371-6****155(招聘),郑州市郑东新区国龙大厦,煤炭,曾8次入世界500强
AA,11,淮北矿业集团,http://www.hbcoal.com/,0561-4951956/4952468,安徽省淮北市人民中路276号,煤炭,18对生产矿井
AA,12,黑龙江龙煤集团,https://www.longmay.com.cn/,见官网"联系我们",哈尔滨市,煤炭,东北最大;4个矿业公司
AA,13,开滦集团,http://www.kailuan.com.cn/,0315-2816031,河北省唐山市新华东道70号,煤炭,始建于1878年
AA,14,徐州矿务集团,http://www.xkjt.net/,0516-85320315,徐州市云龙区钱塘路7号,煤炭,江苏省属国企
A,15,盘江煤电集团,暂无官网,(0858)3700051,贵州省六盘水市盘县红果干沟桥,煤炭,员工2.4万人
A,16,伊泰集团,https://www.yitaigroup.com/,0477-8565688,内蒙古鄂尔多斯,煤炭,民营煤炭巨头
A,17,中国平煤神马集团,http://www.zgpmsm.com/,0375-2787615(招标),河南省平顶山市新华区平安大道47号,煤炭,煤基尼龙化工
A,18,抚顺矿业集团,https://www.fsmg.com.cn/,见官网,辽宁抚顺,煤炭,隶属辽宁能源
AAA,19,紫金矿业集团,https://www.zjky.cn/,0597-3568195(项目),福建省龙岩市,铜/金,全球铜前4;市值破万亿
AAA,20,江西铜业集团,https://www.jxcc.com/,0791-82710388(前台),江西省南昌市昌东大道7666号,铜,亚洲最大露天铜矿
AAA,21,中国铝业集团,https://www.chinalco.com.cn/,010-82298080(值班),北京市海淀区西直门北大街62号,铝,全球铝业龙头
AAA,22,中国五矿集团,https://www.minmetals.com.cn/,010-60169000,北京市东城区朝阳门北大街3号五矿广场A座,多金属,营收1158亿美元
AAA,23,洛阳钼业,https://www.cmoc.com/,0379-68658017,河南省洛阳市栾川县城东新区,钼/钨/铜/钴,沪港两地上市
AAA,24,金川集团,http://www.jnmc.com/,见官网,甘肃省金昌市,镍/铜/钴,世界500强235位
AA,25,西部矿业,,,青海省西宁市,铜/铅锌,西藏玉龙铜矿
AA,26,中条山有色金属集团,https://www.zhongtiaoshan.com.cn/,见官网,山西省运城市,铜,北方铜业
AA,27,山东黄金集团,,,山东省济南市,金,国内黄金龙头
AA,28,云南铜业,http://mp.ppsj.com.cn/000878.html,0871-3106732,云南省昆明市人民东路111号,铜,
AA,29,海南矿业,见智联招聘,见智联招聘,海南省昌江县石碌镇,铁/油气,上市企业;有采购专员岗招聘
A,30,中国建材集团,https://www.cnbm.com.cn/,010-68138388,北京市海淀区复兴路17号国海广场,砂石/建材,大量砂石矿山
A,31,南方水泥有限公司,http://www.scement.cn/,021-50816620,上海市浦东新区世博馆路70号,水泥/砂石,中国建材旗下
